[ 0.00447168 -0.01586289],[ 0.00447167 -0.99999   ]
[0.00611371 0.00197981],[ 0.00611367 -0.99998131]
[ 0.0015164  -0.02778331],[ 0.0015164  -0.99999885]
[-0.10694584 -0.02676342],[-0.10674209 -0.99428674]
[-0.05307551  0.00772016],[-0.05305059 -0.99859183]
[0.00918188 0.02033809],[ 0.00918175 -0.99995785]
[-0.35992199 -0.02065134],[-0.35220122 -0.9359243 ]
[-0.01734882 -0.00970668],[-0.01734795 -0.99984951]
[0.01907845 0.06339499],[ 0.01907729 -0.99981801]
[ 0.03312345 -0.0214555 ],[ 0.0331174  -0.99945147]
[-0.01006782  0.05157479],[-0.01006765 -0.99994932]
[-0.04526329  0.11632074],[-0.04524783 -0.99897579]
[-0.00951315 -0.00513616],[-0.00951301 -0.99995475]
[-0.01190208 -0.09508583],[-0.0119018  -0.99992917]
[0.0158565  0.03020482],[ 0.01585583 -0.99987429]
[-0.02033432  0.06459807],[-0.02033292 -0.99979326]
[-0.04996596 -0.16295242],[-0.04994518 -0.99875196]
[0.0272225  0.19906794],[ 0.02721914 -0.99962949]
[0.0288626  0.05558964],[ 0.0288586 -0.9995835]
[0.02802513 0.15332485],[ 0.02802146 -0.99960732]
[0.00553971 0.0124088 ],[ 0.00553968 -0.99998466]
[0.02209703 0.0155562 ],[ 0.02209523 -0.99975587]
[-0.02335197  0.01453748],[-0.02334985 -0.99972736]
[ 0.32484772 -0.33197475],[ 0.31916448 -0.94769934]
[-0.02362881  0.32139822],[-0.02362661 -0.99972085]
[ 0.00788081 -0.01466233],[ 0.00788073 -0.99996895]
[-0.26015526  1.44967269],[-0.25723059 -0.96635005]
[-0.00904624 -0.02390749],[-0.00904611 -0.99995908]
[-0.07415534 -0.19746417],[-0.0740874  -0.99725175]
[ 0.16116733 -1.4889665 ],[ 0.16047052 -0.98704063]
[0.02299895 0.14288361],[ 0.02299692 -0.99973554]
[0.08621012 0.75306289],[ 0.08610337 -0.99628621]
[-0.01047096  0.02418016],[-0.01047077 -0.99994518]
[0.01070706 0.01973221],[ 0.01070686 -0.99994268]
[0.01669251 0.03744372],[ 0.01669174 -0.99986068]
[-0.00602971  0.01959386],[-0.00602968 -0.99998182]
[ 0.04876833 -0.17858737],[ 0.048749   -0.99881106]
[-0.07735494 -0.38862439],[-0.07727782 -0.9970096 ]
[ 0.00680094 -0.02764414],[ 0.00680089 -0.99997687]
[0.00996329 0.00607342],[ 0.00996313 -0.99995037]
[3.26942440e-05 4.86737915e-02],[ 3.26942440e-05 -9.99999999e-01]
[-0.00198869  0.06567371],[-0.00198869 -0.99999802]
[ 0.00756413 -0.01068528],[ 0.00756406 -0.99997139]
[ 0.11015345 -0.18212399],[ 0.10993082 -0.99393924]
[ 0.00603171 -0.03349751],[ 0.00603168 -0.99998181]
[-0.01250131  0.128123  ],[-0.01250098 -0.99992186]
[ 0.34033132 -0.10847686],[ 0.33379943 -0.94264412]
[-0.4886327  -0.08709923],[-0.46941903 -0.88297552]
[-0.00205073  0.02608792],[-0.00205073 -0.9999979 ]
[-0.0232848 -0.0156222],[-0.0232827  -0.99972892]
[0.00546348 0.07011072],[ 0.00546346 -0.99998508]
[ 0.03855435 -0.17439486],[ 0.0385448  -0.99925687]
[0.05482124 0.03375509],[ 0.05479378 -0.99849769]
[-0.04980959 -0.30155743],[-0.049789   -0.99875976]
[-0.02650201  0.53717844],[-0.0264989  -0.99964884]
[-0.01302749 -0.00196331],[-0.01302712 -0.99991514]
[ 0.02132835 -0.02375058],[ 0.02132673 -0.99977256]
[0.66841748 0.68315599],[ 0.6197448  -0.78480341]
[-0.42000107 -1.88905461],[-0.40776143 -0.9130885 ]
